Código Departamento (DIVIPOLA);DEPARTAMENTOS;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
85;Casanare;24,123,828;24,864,712;23,554,324;28,528,736;25,845,154;28,892,100;39,124,122;41,847,958;43,845,228;42,843,277;33,571,338;28,911,791;31,964,165;36,877,466;38,418,352;31,367,542;40,547,389;40,897,962
19;Cauca;3,948,746;4,414,192;4,792,247;5,347,831;5,710,392;6,285,109;6,796,875;7,515,512;8,342,092;9,302,222;10,294,939;11,203,350;11,553,337;11,935,202;12,686,194;12,141,246;14,124,750;14,154,082
20;Cesar;6,810,781;7,684,507;8,146,177;9,845,957;10,227,409;10,603,692;12,692,156;13,176,012;12,414,299;12,460,838;13,076,198;14,953,901;16,818,961;17,710,537;16,547,877;13,647,429;17,576,567;18,213,010
27;Chocó;3,060,247;3,314,596;3,497,940;3,822,819;4,690,095;6,317,316;7,769,706;7,400,499;6,282,263;6,291,011;7,011,686;8,146,211;7,511,347;7,062,349;7,718,663;8,162,096;9,228,987;8,946,536
23;Córdoba;3,912,903;4,362,011;5,186,748;5,129,321;5,235,480;5,503,257;5,893,042;6,439,647;6,914,460;7,555,705;7,910,948;8,405,654;8,957,509;9,412,988;10,107,441;9,756,342;11,301,872;11,286,213
25;Cundinamarca;10,268,544;11,046,444;12,259,261;13,547,103;14,138,511;14,837,916;16,105,151;16,789,186;17,283,141;17,888,991;18,894,518;20,178,863;20,095,677;20,241,029;20,454,302;18,822,864;21,823,068;22,643,703
94;Guainía;4,134,059;4,655,932;4,553,399;4,854,812;5,076,118;5,337,184;5,423,605;5,889,341;6,342,338;6,550,834;7,098,587;7,419,490;7,319,487;7,556,202;7,878,262;7,340,744;8,604,845;8,729,829
95;Guaviare;4,759,905;5,133,194;5,776,380;6,071,819;6,177,281;6,442,355;6,570,335;7,137,782;7,617,279;8,146,529;8,759,675;9,108,939;9,412,082;9,464,246;9,825,676;9,479,361;10,659,482;10,977,860
41;Huila;6,451,275;6,895,658;7,441,987;8,686,536;8,679,324;9,548,625;11,113,741;11,400,169;11,967,750;12,755,711;13,006,651;13,682,003;14,008,430;14,530,595;15,467,923;14,780,072;17,525,166;17,321,238
44;La Guajira;6,503,249;7,204,102;7,342,993;9,388,252;9,608,067;9,587,598;10,937,733;11,229,423;10,625,059;10,629,004;10,790,562;11,477,178;12,747,584;13,493,547;12,102,423;8,980,148;14,681,981;13,640,373
47;Magdalena;3,938,108;4,202,994;4,618,524;5,293,554;5,858,657;6,119,383;6,441,145;6,942,728;7,530,342;7,620,221;8,285,062;9,081,224;9,488,025;9,862,749;10,186,731;9,691,665;11,297,073;11,417,568
50;Meta;10,016,793;11,845,232;12,706,662;17,810,571;19,211,130;26,347,264;39,049,594;42,255,903;44,337,343;38,526,731;31,109,367;26,213,927;29,589,308;33,981,128;36,588,669;29,483,499;39,092,585;38,624,672
52;Nariño;3,422,276;3,926,952;4,236,402;4,462,738;4,755,905;4,908,591;5,418,070;5,887,199;6,365,534;6,863,228;7,602,129;8,598,378;8,669,515;9,097,870;9,765,246;9,635,461;11,219,746;11,043,833
54;Norte De Santander;3,928,796;4,562,230;5,093,601;5,756,904;6,139,384;6,377,160;6,845,992;7,152,319;7,716,659;8,310,220;8,890,010;9,693,223;9,984,804;10,352,471;10,405,660;9,712,243;11,321,032;11,631,738
86;Putumayo;4,190,375;4,883,522;5,617,663;7,107,722;7,872,365;9,697,261;11,967,934;12,049,913;14,234,562;13,936,142;10,618,802;9,869,727;10,603,129;11,584,128;11,445,298;9,268,574;11,681,648;12,233,294
63;Quindío;5,378,939;6,350,376;6,908,084;7,449,000;7,790,106;8,274,579;9,183,441;10,067,779;10,457,304;10,917,328;12,119,442;13,461,509;14,295,764;14,725,788;15,574,662;14,837,555;17,500,181;17,417,948
66;Risaralda;6,277,539;7,174,399;7,703,890;8,322,006;8,873,225;9,324,849;9,890,624;10,557,237;11,593,542;12,762,046;13,704,944;14,951,359;15,956,983;16,829,248;17,929,495;17,081,414;20,163,342;20,020,409
88;San Andrés Providencia y Santa Catalina;7,876,466;9,030,802;10,561,225;11,111,392;12,172,643;12,709,984;13,893,782;15,153,469;17,002,295;18,620,820;20,405,878;21,847,741;23,464,178;24,985,543;26,238,950;21,099,544;26,460,100;27,465,286
68;Santander;9,951,651;11,318,386;12,762,161;14,545,114;14,433,162;16,392,991;18,726,378;19,764,532;21,093,454;24,482,373;24,796,146;26,029,905;27,702,140;29,190,314;30,891,995;27,055,460;32,403,341;33,248,891
70;Sucre;3,045,612;3,481,809;3,947,168;4,306,632;4,742,348;4,853,787;5,358,089;5,924,989;6,438,657;7,085,546;7,580,170;8,190,520;8,667,295;8,976,959;9,361,477;8,896,258;10,225,661;10,424,878
73;Tolima;5,905,371;6,708,554;7,681,132;8,663,629;8,719,595;9,114,316;10,283,555;10,931,945;11,593,794;12,554,593;13,158,216;14,254,326;15,071,622;15,788,947;16,869,492;15,922,298;18,709,164;18,712,693
76;Valle del Cauca;8,233,652;9,364,012;10,568,989;11,278,073;11,991,481;12,538,426;13,461,456;14,347,570;15,262,933;16,490,649;17,755,474;19,277,535;20,251,506;21,424,516;22,893,005;22,037,578;25,508,984;25,552,451
97;Vaupés;3,133,078;3,201,815;3,718,202;3,862,698;4,062,368;4,103,719;4,529,593;4,802,527;5,377,967;5,961,330;6,202,286;6,468,021;6,608,361;6,897,674;7,094,452;6,554,736;7,190,854;7,730,298
99;Vichada;3,887,315;4,114,080;4,091,512;4,337,204;4,390,230;4,285,404;4,377,994;4,639,459;4,856,888;4,733,848;5,271,600;5,586,503;5,677,781;5,889,111;6,221,545;6,062,400;6,974,360;6,996,080
